Name,Monoisotopic_mass,Formula
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-Henicosafluoro-12-iodoheptadecane",743.9804906,C17H14F21I
"N-ethyl perfluorooctanesulfonamido polyethylene glycol, n=8, m=12",1099.32557,C36H58F17NO15S
"multiple H-substituted, multiple ether-substituted perfluoroalkyl alcohols, n=3, m=8",672.1967846,C22H33F13O8
"1,4-Dibromo-1,1,2,2-tetrafluorobutane",285.8615887,C4H4Br2F4
"multiple H-substituted, multiple ether-substituted perfluoroalkyl alcohols, n=5, m=14",1136.341299,C38H57F21O14
"1,1,2,2,3,3,4,4,4-nonafluoro-N-(2-hydroxyethyl)-1-Butanesulfonamide",342.9924676,C6H6F9NO3S
"Bis[3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,18-tritriacontafluorooctadecyl] hydrogen phosphate, compound with 2,2'-iminodiethanol (1:1)",1789.918456,C36H9F66O4P
"perfluoroalkanesulfonamido sulfonate betaine D, n=4",520.0748171,C13H21F9N2O5S2
2-(Heptafluoropropyl)-5-methoxy-1H-indole,315.0494113,C12H8F7NO
"4,4,5,5,6,6,6-Heptafluoro-1-(furan-2-yl)hexane-1,3-dione",306.0126914,C10H5F7O3
"1-[(4,4,5,5,6,6,7,7,8,8,9,9,9-Tridecafluorononanoyl)oxy]pyrrolidine-2,5-dione",489.0245743,C13H8F13NO4
"Perfluoro(3,3'-(piperazine-1,4-diyl)dipropanoic acid)",517.9759078,C10H2F16N2O4
"2,2,3,3,4,4,5,5,6,6,6-Undecafluorohexanamide",312.9960739,C6H2F11NO
"2,2,3,3-Tetrafluoropropyl nonafluorobutane-1-sulfonate",413.9595313,C7H3F13O3S
"ether-substituted Perfluoroalkyl (linear) sulfonic acids_i, n=5",565.929215,C9HF19O4S
"(2E)-4,4,5,5,6,6,7,7,8,8,9,9,9-Tridecafluoro-2-nonen-1-ol",376.0132814,C9H5F13O
"4,4,5,5,6,6,7,7,8,8,9,9,9-Tridecafluoro-2-nonen-1-ol",376.0132814,C9H5F13O
"(2Z)-4,4,5,5,6,6,7,7,8,8,9,9,9-Tridecafluoronon-2-en-1-ol",376.0132814,C9H5F13O
C4-phosphonic,299.9597842,C4H2F9O3P
"Perfluoro-2,3-bis(2,5-dimethyl-1,4-dioxan-3-oxy)butane",857.9215837,C16F30O6
"2,4,4,5,7,7,8,10,10,11,13,13,14,16,16,17,17,18,18,18-Icosafluoro-2,5,8,11,14-pentakis(trifluoromethyl)-3,6,9,12,15-pentaoxaoctadecan-1-ol",979.9370748,C18H3F35O6
1-(Heptafluoropropyl)-4-nitrobenzene,291.0130258,C9H4F7NO2
"2-[(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)oxy]-N-phenylacetamide",319.0443259,C11H8F7NO2
"1H,1H,2H,2H-Perfluorodecanol sulfate ammonium salt",543.9637088,C10H5F17O4S
"double bond-, di-ether substituted perfluoroalkyl (linear) sulfonic acids, C7",443.9337105,C7HF13O5S
"2-(Heptafluoropropyl)-1-phenyl-4,5-dihydro-1H-imidazole",314.0653957,C12H9F7N2
"Perfluoro-2,2,9,9-tetramethyldeca-3,7-diene",661.9584832,C14F26
3-Nitrophenyl heptafluorobutanoate,335.002855,C10H4F7NO4
"1,2-dichloro(perfluoro-1-(methoxymethoxy)ethane)",301.9147603,C4Cl2F8O2
"2-{[(2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9-Hexadecafluorononyl)oxy]methyl}oxirane",488.0268807,C12H8F16O2
"n:3 fluorotelomer betaine-related, n=2",413.0848889,C12H14F11NO2
1-(Heptafluoropropyl)-4-methylisoquinoline,311.0544967,C13H8F7N
"Perfluoro-2,5,8,11-tetraoxadodecane",501.9509161,C8F18O4
"multiple H-substituted, multiple ether-substituted perfluoroalkyl alcohols, n=4, m=11",904.2690417,C30H45F17O11
"Decane-1,10-diyl bis(heptafluorobutanoate)",566.1138039,C18H20F14O4
4-Heptadecafluorooctanesulfonamidobenzenesulfonic acid sodium salt,654.9415932,C14H6F17NO5S2
"Triethoxy(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)silane",510.0895876,C14H19F13O3Si
"Cyclopentene, 1,3,3,4,4,5,5-heptafluoro-",193.9966474,C5HF7
"3-[(Perfluoropentane-1-sulfonyl)amino]-N,N-dimethylpropan-1-amine N-oxide potassium salt",450.0471232,C10H13F11N2O3S
"3-(Butane-1-sulfonyl)-4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-2-methylbenzoic acid",424.0579271,C15H15F7O4S
Undecafluorocyclohexane,281.9902602,C6HF11
"1,1,2,2-Tetrafluoro-1-iodo-2-(trifluoromethoxy)ethane",311.88821,C3F7IO
"[1,1,1,2,2,3,3,4,4,14,14,15,15,16,16,17,17,17-Octadecafluoro-10-(4,4,5,5,6,6,7,7,7-nonafluoroheptyl)heptadec-9-en-8-yl]-lambda~2~-stannanyl",942.0234068,C24H21F27Sn
"1,1,1,2,4,4,5,5-Octafluoro-5-iodo-2-(trifluoromethyl)pentan-3-one",423.8818228,C6F11IO
